Brand_ID,Cate1_ID,Cate2_ID,Cate3_ID,Region_ID
0,0,0,0,56
0,0,0,0,1987
0,0,0,0,2047
0,0,0,0,105
0,0,0,0,87
0,0,0,0,2231
0,0,0,0,77
0,0,0,0,558
0,0,0,0,78
0,0,0,0,1386
0,0,0,0,48
0,0,0,0,659
1,1,1,1,2012
1,1,1,1,201
1,1,1,1,290
1,1,1,1,164
1,1,1,1,342
2,1,1,1,971
2,1,1,1,450
2,1,1,1,1892
2,1,1,1,1892
2,1,1,1,2084
2,1,1,1,1412
2,1,1,1,440
2,1,1,1,652
2,1,1,1,409
2,1,1,1,1113
2,1,1,1,1965
2,1,1,1,608
2,1,1,1,1412
2,1,1,1,1855
2,1,1,1,154
2,1,1,1,262
2,1,1,1,372
2,1,1,1,641
2,1,1,1,301
3,1,1,1,1306
3,1,1,1,2168
3,1,1,1,1291
3,1,1,1,2084
3,1,1,1,1853
3,1,1,1,1249
3,1,1,1,1915
3,1,1,1,1144
3,1,1,1,237
3,1,1,1,190
3,1,1,1,1238
3,1,1,1,997
3,1,1,1,1355
3,1,1,1,2227
3,1,1,1,233
3,1,1,1,1359
3,1,1,1,1339
3,1,1,1,1177
3,1,1,1,283
3,1,1,1,320
3,1,1,1,2098
3,1,1,1,703
3,1,1,1,1149
4,1,1,1,1249
4,1,12,73,1022
4,1,1,1,1902
4,1,1,1,2059
4,1,1,1,717
4,1,1,1,927
4,1,1,1,737
4,1,1,1,1592
4,1,1,1,1591
4,1,1,1,722
4,1,1,1,1452
4,1,1,1,613
4,1,12,73,1697
4,1,1,1,927
4,1,12,73,1584
4,1,1,1,957
4,1,1,1,948
4,1,1,1,1417
4,1,1,1,1689
4,1,1,1,1042
4,1,1,1,1685
4,1,12,73,669
4,1,1,1,132
4,1,12,73,603
4,1,1,1,1524
4,1,12,73,603
4,1,1,1,1435
4,1,1,1,927
5,2,2,3,1752
5,2,2,3,488
5,2,2,3,1820
5,2,2,3,585
5,2,2,3,2247
5,2,2,2,1067
5,2,2,3,1627
5,2,2,3,1532
5,2,2,3,172
5,2,2,2,65
5,2,2,3,1575
5,2,2,3,557
5,2,2,3,1675
5,2,2,3,1524
5,2,2,3,1808
5,2,2,2,643
5,2,2,3,158
5,2,2,3,1486
5,2,2,3,172
5,2,2,3,1449
5,2,2,3,956
5,2,2,3,731
5,2,2,3,2274
5,2,2,3,167
5,2,2,3,99
5,2,2,3,105
5,2,2,3,2054
5,2,2,2,1891
5,2,2,3,555
5,2,2,3,1519
5,2,2,2,487
5,2,2,3,581
5,2,2,3,35
5,2,2,3,1589
5,2,2,3,167
5,2,2,3,2308
5,2,2,3,849
5,2,2,2,1435
5,2,2,2,992
5,2,2,3,70
5,2,2,2,1028
5,2,2,3,1820
5,2,2,3,1805
5,2,2,3,680
5,2,2,3,561
5,2,2,3,99
5,2,2,2,2055
5,2,2,3,1545
5,2,2,3,1954
5,2,2,3,1109
5,2,2,3,690
5,2,2,3,1530
5,2,2,3,60
5,2,2,3,168
5,2,2,2,1516
5,2,2,3,156
5,2,2,3,2303
5,2,2,3,2062
5,2,2,3,70
5,2,2,3,1717
5,2,2,3,202
5,2,2,3,661
5,2,2,3,673
5,2,2,3,700
5,2,2,3,74
5,2,2,3,686
5,2,2,3,561
5,2,2,3,576
5,2,2,3,2054
5,2,2,3,120
5,2,2,3,1831
5,2,2,3,597
5,2,2,3,704
5,2,2,3,2103
5,2,2,3,2310
5,2,2,3,2028
5,2,2,3,2206
5,2,2,2,119
5,2,2,3,1833
5,2,2,2,415
5,2,2,3,1274
5,2,2,3,659
5,2,2,3,1481
5,2,2,3,704
5,2,2,3,2270
5,2,2,3,1418
5,2,2,3,23
5,2,2,2,1840
5,2,2,3,69
5,2,2,3,1757
5,2,2,2,2031
5,2,2,3,698
5,2,2,3,773
5,2,2,3,1409
5,2,2,3,1947
5,2,2,3,1432
5,2,2,3,2283
5,2,2,3,971
5,2,2,3,234
5,2,2,3,1466
5,2,2,3,2180
5,2,2,3,543
5,2,2,3,1429
5,2,2,3,647
5,2,2,2,912
5,2,2,75,1347
5,2,2,3,104
5,2,2,3,2104
5,2,2,3,585
5,2,2,3,163
5,2,2,3,1775
5,2,2,3,1420
5,2,2,3,631
5,2,2,3,1815
5,2,2,3,157
5,2,2,3,1004
5,2,2,3,298
5,2,2,3,662
5,2,2,3,2077
5,2,2,3,632
5,2,2,3,1426
5,2,2,2,448
5,2,2,3,1988
5,2,2,3,1680
5,2,2,2,272
5,2,2,3,326
5,2,2,3,671
5,2,2,3,1755
5,2,2,3,185
5,2,2,3,931
5,2,2,3,694
5,2,2,3,42
5,2,2,3,801
5,2,2,3,1811
5,2,2,3,163
5,2,2,3,1693
5,2,2,3,210
5,2,2,3,1481
5,2,2,3,2120
5,2,2,3,59
5,2,2,3,1276
5,2,2,3,37
5,2,2,3,2074
5,2,2,3,2054
5,2,2,3,277
5,2,2,3,153
5,2,2,3,1449
5,2,2,3,51
5,2,2,3,179
5,2,2,3,1802
5,2,2,3,463
5,2,2,3,181
5,2,2,3,21
5,2,2,3,555
5,2,2,3,35
5,2,2,3,1559
5,2,2,3,2181
5,2,2,3,556
5,2,2,3,140
5,2,2,3,1004
5,2,2,2,1881
5,2,2,2,698
5,2,2,2,1662
5,2,2,3,161
5,2,2,3,1742
5,2,2,3,664
5,2,2,3,46
5,2,2,3,1678
5,2,2,2,1386
5,2,2,3,60
5,2,2,3,36
5,2,2,3,1819
5,2,2,3,979
5,2,2,3,37
5,2,2,2,112
5,2,2,3,84
5,2,2,3,221
5,2,2,2,1488
5,2,2,3,160
5,2,2,3,47
5,2,2,3,2011
5,2,2,3,73
5,2,2,3,1775
5,2,2,3,787
5,2,2,3,1653
5,2,2,3,543
5,2,2,3,201
5,2,2,3,1813
5,2,2,3,1273
5,2,2,3,115
5,2,2,3,2084
5,2,2,3,1757
5,2,2,3,588
5,2,2,3,170
5,2,2,2,801
5,2,2,3,2090
5,2,2,3,2060
5,2,2,3,2032
5,2,2,3,49
5,2,2,3,643
5,2,2,3,4
5,2,2,3,1985
5,2,2,3,1461
5,2,2,3,1431
5,2,2,3,2010
5,2,2,3,2308
5,2,2,3,2310
5,2,2,3,1824
5,2,2,3,601
5,2,2,3,64
5,2,2,3,170
5,2,2,3,917
5,2,2,3,1829
5,2,2,3,85
5,2,2,3,2258
5,2,2,3,1676
5,2,2,3,187
5,2,2,3,1557
5,2,2,3,333
5,2,2,3,946
5,2,2,3,2083
5,2,2,3,1752
5,2,2,3,1683
5,2,2,3,657
5,2,2,2,186
5,2,2,3,947
5,2,2,3,2258
5,2,2,3,2062
5,2,2,3,1827
5,2,2,3,954
5,2,2,3,1716
5,2,2,3,2023
5,2,2,3,1942
5,2,2,3,99
5,2,2,3,829
5,2,2,3,1757
5,2,2,3,946
5,2,2,3,438
5,2,2,3,234
5,2,2,3,1514
5,2,2,3,9
5,2,2,3,2323
5,2,2,3,38
5,2,2,3,993
5,2,2,3,168
5,2,2,3,671
5,2,2,3,1941
5,2,2,3,94
5,2,2,3,2229
5,2,2,2,141
5,2,2,3,671
5,2,2,3,146
5,2,2,3,704
5,2,2,3,2164
5,2,2,3,163
5,2,2,3,950
5,2,2,3,159
5,2,2,2,1053
5,2,2,2,120
5,2,2,3,1839
5,2,2,3,1719
5,2,2,3,572
5,2,2,3,56
5,2,2,3,85
5,2,2,3,620
5,2,2,3,698
5,2,2,3,981
5,2,2,2,200
5,2,2,3,239
5,2,2,3,2015
5,2,2,3,478
5,2,2,3,461
5,2,2,3,1424
5,2,2,3,58
5,2,2,3,2061
5,2,2,3,362
5,2,2,3,585
5,2,2,3,2275
5,2,2,3,190
5,2,2,3,662
5,2,2,3,147
5,2,2,3,1602
5,2,2,3,1833
5,2,2,3,152
5,2,2,3,2024
5,2,2,3,2155
5,2,2,3,2311
5,2,2,3,955
5,2,2,3,1821
5,2,2,3,1830
5,2,2,3,657
5,2,2,3,1540
5,2,2,3,52
5,2,2,3,650
5,2,2,3,1077
5,2,2,3,570
5,2,2,2,940
5,2,2,2,464
5,2,2,3,1833
5,2,2,3,1499
5,2,2,3,698
5,2,2,3,671
5,2,2,3,94
5,2,2,3,49
5,2,2,3,1580
5,2,2,3,1709
5,2,2,3,47
5,2,2,3,2291
5,2,2,3,1563
5,2,2,2,946
5,2,2,3,1735
5,2,2,3,1414
5,2,2,2,1955
5,2,2,3,1551
5,2,2,3,39
5,2,2,3,966
5,2,2,3,1976
5,2,2,3,1866
5,2,2,3,799
5,2,2,3,1619
5,2,2,3,179
5,2,2,3,1592
5,2,2,3,149
5,2,2,3,725
5,2,2,3,1914
5,2,2,3,2066
5,2,2,3,2011
5,2,2,3,2110
5,2,2,3,2069
5,2,2,3,1510
5,2,2,3,2275
5,2,2,3,65
5,2,2,3,172
5,2,2,3,1817
5,2,2,3,597
5,2,2,3,224
5,2,2,2,100
5,2,2,3,990
5,2,2,3,1986
5,2,2,3,208
5,2,2,3,1451
5,2,2,3,1531
5,2,2,3,1751
5,2,2,3,573
5,2,2,3,667
5,2,2,3,192
5,2,2,3,570
5,2,2,3,6
5,2,2,3,1087
5,2,2,3,1554
5,2,2,3,1801
5,2,2,2,1752
5,2,2,2,27
5,2,2,3,1510
5,2,2,3,55
5,2,2,3,555
5,2,2,2,87
5,2,2,3,1580
5,2,2,3,234
5,2,2,3,550
5,2,2,3,2079
5,2,2,3,183
5,2,2,3,2299
5,2,2,3,930
5,2,2,3,1810
5,2,2,3,167
5,2,2,3,731
5,2,2,3,23
5,2,2,3,1914
5,2,2,3,42
5,2,2,3,1757
5,2,2,3,148
5,2,2,3,604
5,2,2,3,1688
5,2,2,3,696
5,2,2,3,1988
5,2,2,3,2275
5,2,2,3,1431
5,2,2,3,1682
5,2,2,3,1542
5,2,2,3,2079
5,2,2,3,662
5,2,2,3,8
5,2,2,3,175
5,2,2,3,1006
5,2,2,3,1662
5,2,2,3,111
5,2,2,3,2034
5,2,2,3,1399
5,2,2,3,1828
5,2,2,3,69
5,2,2,3,1409
5,2,2,3,1444
5,2,2,3,164
5,2,2,3,58
5,2,2,2,737
5,2,2,3,914
5,2,2,2,2190
5,2,2,3,2031
5,2,2,3,602
5,2,2,3,84
5,2,2,3,556
5,2,2,3,655
5,2,2,3,29
5,2,2,3,210
5,2,2,3,2202
5,2,2,3,2202
5,2,2,3,234
5,2,2,3,152
5,2,2,3,95
5,2,2,3,98
5,2,2,3,2140
5,2,2,2,920
5,2,2,3,97
5,2,2,3,62
5,2,2,3,330
5,2,2,3,1441
5,2,2,3,446
5,2,2,2,2023
5,2,2,3,2193
5,2,2,3,166
5,2,2,3,194
5,2,2,3,2141
5,2,2,3,1958
5,2,2,3,1675
5,2,2,3,645
5,2,2,3,965
5,2,2,3,141
5,2,2,2,620
5,2,2,3,62
5,2,2,3,711
5,2,2,3,62
5,2,2,3,2276
5,2,2,3,1650
5,2,2,3,639
5,2,2,3,2291
5,2,2,3,175
5,2,2,3,1814
5,2,2,3,632
5,2,2,3,556
5,2,2,3,1637
5,2,2,3,1819
5,2,2,3,1679
5,2,2,3,173
5,2,2,3,554
5,2,2,3,1827
5,2,2,3,1829
5,2,2,3,657
5,2,2,3,194
5,2,2,3,860
5,2,2,3,1434
5,2,2,3,1830
5,2,2,3,439
5,2,2,3,1954
5,2,2,3,59
5,2,2,3,1821
5,2,2,3,841
5,2,2,2,1344
5,2,2,3,948
5,2,2,2,91
5,2,2,3,98
5,2,2,3,633
5,2,2,3,2209
5,2,2,3,637
5,2,2,3,40
5,2,2,3,42
5,2,2,3,74
5,2,2,3,2291
5,2,2,3,298
5,2,2,3,170
5,2,2,2,1597
5,2,2,3,1817
5,2,2,3,2308
5,2,2,3,1774
5,2,2,3,1297
5,2,2,3,556
5,2,2,2,1987
5,2,2,3,1502
5,2,2,3,715
5,2,2,3,904
5,2,2,3,109
5,2,2,3,1349
5,2,2,3,2164
5,2,2,3,1580
5,2,2,3,151
5,2,2,3,2064
5,2,2,3,1554
5,2,2,3,1811
5,2,2,3,1297
5,2,2,3,2236
5,2,2,3,1816
5,2,2,3,1828
5,2,2,3,167
5,2,2,3,1720
5,2,2,3,1827
5,2,2,3,1792
5,2,2,3,667
5,2,2,3,1818
5,2,2,3,1986
5,2,2,3,159
5,2,2,3,159
5,2,2,3,1025
5,2,2,3,934
5,2,2,3,1511
5,2,2,3,1764
5,2,2,3,55
5,2,2,3,1548
5,2,2,3,906
5,2,2,3,220
5,2,2,3,748
5,2,2,3,590
5,2,2,3,2310
5,2,2,3,153
5,2,2,2,1083
5,2,2,3,2010
5,2,2,3,37
5,2,2,3,1467
5,2,2,3,1557
5,2,2,3,1775
5,2,2,3,799
5,2,2,3,215
5,2,2,3,88
5,2,2,3,2011
5,2,2,3,1008
5,2,2,3,639
5,2,2,3,1683
5,2,2,3,2121
5,2,2,3,1989
5,2,2,3,2215
5,2,2,3,7
5,2,2,3,1602
5,2,2,3,2230
5,2,2,3,1816
5,2,2,3,1679
5,2,2,3,1759
5,2,2,3,2031
5,2,2,3,2231
5,2,2,3,1795
5,2,2,3,88
5,2,2,3,1513
5,2,2,3,2061
5,2,2,3,1510
5,2,2,3,1585
5,2,2,3,74
5,2,2,3,2100
5,2,2,3,194
5,2,2,2,2276
5,2,2,3,2258
5,2,2,3,194
5,2,2,3,1519
5,2,2,3,1455
5,2,2,3,1274
5,2,2,3,1850
5,2,2,2,514
5,2,2,3,1828
5,2,2,3,635
5,2,2,3,620
5,2,2,3,1752
5,2,2,2,1166
5,2,2,3,2052
5,2,2,2,3
5,2,2,3,148
5,2,2,3,1976
5,2,2,3,1436
5,2,2,3,151
5,2,2,3,1795
5,2,2,3,1477
5,2,2,3,829
5,2,2,3,2054
5,2,2,3,52
5,2,2,3,3
5,2,2,3,1516
5,2,2,3,620
5,2,2,3,568
5,2,2,3,38
5,2,2,3,1728
5,2,2,2,2310
5,2,2,3,1651
5,2,2,3,74
5,2,2,3,206
5,2,2,3,26
5,2,2,2,58
5,2,2,3,589
5,2,2,2,1792
5,2,2,3,1770
5,2,2,3,1820
5,2,2,3,2065
5,2,2,3,1693
5,2,2,3,1676
5,2,2,3,100
5,2,2,3,2130
5,2,2,3,1541
5,2,2,2,671
5,2,2,3,168
5,2,2,2,80
5,2,2,3,36
5,2,2,3,2188
5,2,2,2,1273
5,2,2,3,175
5,2,2,3,1753
5,2,2,3,2181
5,2,2,3,1687
5,2,2,3,2267
5,2,2,3,1816
5,2,2,3,100
5,2,2,3,1817
5,2,2,2,1436
5,2,2,3,579
5,2,2,3,2303
5,2,2,3,594
5,2,2,3,1399
5,2,2,3,2236
5,2,2,3,704
5,2,2,3,1531
5,2,2,3,1541
5,2,2,3,1627
5,2,2,3,104
5,2,2,3,1778
5,2,2,3,1601
5,2,2,3,1817
5,2,2,3,1541
5,2,2,3,234
5,2,2,3,1528
5,2,2,2,2199
5,2,2,3,111
5,2,2,3,1812
5,2,2,3,1814
5,2,2,3,581
5,2,2,3,56
5,2,2,3,1554
5,2,2,3,176
5,2,2,3,2032
5,2,2,3,578
5,2,2,3,94
5,2,2,3,711
5,2,2,3,567
5,2,2,3,155
5,2,2,3,1505
5,2,2,3,163
5,2,2,3,170
5,2,2,3,715
5,2,2,3,2308
5,2,2,3,298
5,2,2,3,299
5,2,2,3,1833
5,2,2,3,600
5,2,2,3,663
5,2,2,3,64
5,2,2,3,2257
5,2,2,3,2076
5,2,2,3,662
5,2,2,3,1867
5,2,2,3,1778
5,2,2,3,164
5,2,2,3,375
5,2,2,3,135
5,2,2,3,975
5,2,2,3,581
5,2,2,3,128
5,2,2,3,2123
5,2,2,2,2018
5,2,2,3,1791
5,2,2,3,1821
5,2,2,3,1823
5,2,2,3,298
5,2,2,3,85
5,2,2,2,159
5,2,2,3,247
5,2,2,3,76
5,2,2,3,1530
5,2,2,3,2245
5,2,2,3,224
5,2,2,3,2274
5,2,2,3,103
5,2,2,3,1513
5,2,2,3,1914
5,2,2,2,78
5,2,2,3,1452
5,2,2,3,1817
5,2,2,3,77
5,2,2,2,74
5,2,2,3,1081
5,2,2,3,1424
5,2,2,3,219
5,2,2,3,1595
5,2,2,3,2285
5,2,2,2,1612
5,2,2,2,216
5,2,2,3,1833
5,2,2,2,2030
5,2,2,3,2308
5,2,2,3,438
5,2,2,3,651
5,2,2,3,41
5,2,2,3,1793
5,2,2,3,2310
5,2,2,3,570
5,2,2,3,1589
5,2,2,3,62
5,2,2,3,141
5,2,2,3,2274
5,2,2,2,1461
5,2,2,2,482
5,2,2,3,1706
5,2,2,2,624
5,2,2,3,1842
5,2,2,3,576
5,2,2,3,95
5,2,2,3,175
5,2,2,3,2176
5,2,2,3,1565
5,2,2,3,639
5,2,2,3,57
5,2,2,3,1757
5,2,2,3,163
5,2,2,3,1126
5,2,2,3,1801
5,2,2,3,1529
5,2,2,3,207
5,2,2,3,134
5,2,2,3,953
5,2,2,2,1300
5,2,2,3,1736
5,2,2,3,127
5,2,2,3,635
5,2,2,3,1488
5,2,2,3,446
5,2,2,3,1833
5,2,2,2,162
5,2,2,3,696
5,2,2,3,956
5,2,2,3,1853
5,2,2,2,1703
5,2,2,3,631
5,2,2,3,2248
5,2,2,3,1952
5,2,2,3,1596
5,2,2,3,1116
5,2,2,3,1525
5,2,2,3,2307
5,2,2,3,557
5,2,2,3,950
5,2,2,3,58
5,2,2,3,557
5,2,2,3,2032
5,2,2,3,2276
5,2,2,3,1087
5,2,2,3,557
5,2,2,3,1622
5,2,2,3,1816
5,2,2,3,54
5,2,2,2,142
5,2,2,3,1678
5,2,2,3,1703
5,2,2,3,1563
5,2,2,3,438
5,2,2,3,1608
5,2,2,3,557
5,2,2,2,661
5,2,2,3,2128
5,2,2,3,1550
5,2,2,3,1505
5,2,2,3,2027
5,2,2,3,76
5,2,2,3,1407
5,2,2,3,2323
5,2,2,3,22
5,2,2,3,1540
5,2,2,3,2268
5,2,2,3,573
5,2,2,2,829
5,2,2,3,1914
5,2,2,3,2156
5,2,2,2,2049
5,2,2,3,661
5,2,2,3,157
5,2,2,3,733
5,2,2,3,559
5,2,2,3,572
5,2,2,3,2140
5,2,2,3,181
5,2,2,3,141
5,2,2,2,2021
5,2,2,3,62
5,2,2,3,663
5,2,2,3,572
6,3,3,4,874
6,3,3,4,1305
6,3,3,4,607
6,3,3,4,1959
7,4,4,5,1386
7,4,4,5,161
7,4,4,5,134
7,4,4,5,37
7,4,4,5,87
7,4,4,5,1386
7,4,4,5,227
7,4,4,5,2018
7,4,4,5,1966
7,4,4,5,51
7,4,4,5,543
8,2,5,6,789
8,2,5,6,2249
8,2,5,6,1266
8,2,5,6,1314
8,2,5,6,1361
8,2,5,6,247
8,2,5,6,2024
8,2,5,6,2217
8,2,5,6,1644
8,2,5,6,488
8,2,5,6,892
8,2,5,6,1063
8,2,5,6,1265
8,2,5,6,717
8,2,5,6,1294
8,2,5,6,824
8,2,5,6,1327
8,2,5,6,743
8,2,5,6,918
8,2,5,6,1341
8,2,5,6,1968
8,2,5,6,923
8,2,5,6,1323
8,2,5,6,859
8,2,5,6,1360
8,2,5,6,1781
8,2,5,6,866
8,2,5,6,966
8,2,5,6,1515
8,2,5,6,295
8,2,5,6,762
8,2,5,6,543
8,2,5,6,1910
8,2,5,6,1876
8,2,5,6,1187
8,2,5,6,1273
8,2,5,6,900
8,2,5,6,2239
8,2,5,6,2108
8,2,5,6,1296
8,2,5,6,442
8,2,5,6,2112
8,2,5,6,2129
8,2,5,6,1702
8,2,5,6,2174
8,2,5,6,846
8,2,5,6,1136
8,2,5,6,2088
9,2,5,6,505
9,2,5,6,84
9,2,5,6,121
9,2,5,6,972
9,2,5,6,2057
9,2,5,6,1868
9,2,5,6,94
9,2,5,6,232
9,2,5,6,1052
9,2,5,6,358
9,2,5,6,2025
9,2,5,6,110
9,2,5,6,2009
9,2,5,6,524
9,2,5,6,768
9,2,5,6,1536
9,2,5,6,1038
9,2,5,6,1651
9,2,5,6,2161
9,2,5,6,2230
9,2,5,6,1915
9,2,5,6,279
9,2,5,6,805
9,2,5,6,784
9,2,5,6,1439
9,2,5,6,70
9,2,5,6,901
9,2,5,6,1405
9,2,5,6,664
9,2,5,6,27
9,2,5,6,829
9,2,5,6,1013
9,2,5,6,2021
9,2,5,6,237
9,2,5,6,901
9,2,5,6,309
9,2,5,6,135
9,2,5,6,10
9,2,5,6,840
9,2,5,6,573
9,2,5,6,1415
9,2,5,6,1617
9,2,5,6,1314
9,2,5,6,2267
9,2,5,6,709
9,2,5,6,221
9,2,5,6,682
9,2,5,6,298
9,2,5,6,1876
9,2,5,6,157
9,2,5,6,2175
9,2,5,6,2156
9,2,5,6,901
9,2,5,6,1684
9,2,5,6,1405
9,2,5,6,23
9,2,5,6,424
9,2,5,6,1676
9,2,5,6,1415
9,2,5,6,1415
9,2,5,6,206
9,2,5,6,276
9,2,5,6,1926
9,2,5,6,2267
9,2,5,6,1038
9,2,5,6,47
9,2,5,6,584
9,2,5,6,1599
9,2,5,6,159
9,2,5,6,339
9,2,5,6,403
9,2,5,6,1306
9,2,5,6,955
9,2,5,6,182
9,2,5,6,2015
9,2,5,6,207
9,2,5,6,662
9,2,5,6,657
9,2,5,6,53
9,2,5,6,264
9,2,5,6,85
9,2,5,6,972
9,2,5,6,32
9,2,5,6,69
9,2,5,6,985
9,2,5,6,2275
9,2,5,6,4
9,2,5,6,2221
9,2,5,6,29
9,2,5,6,765
9,2,5,6,106
9,2,5,6,338
9,2,5,6,31
9,2,5,6,606
9,2,5,6,971
9,2,5,6,1052
9,2,5,6,1536
9,2,5,6,193
9,2,5,6,1463
9,2,5,6,1279
9,2,5,6,1349
9,2,5,6,1559
9,2,5,6,186
9,2,5,6,133
9,2,5,6,346
9,2,5,6,1781
9,2,5,6,784
9,2,5,6,2003
9,2,5,6,1278
9,2,5,6,2156
9,2,5,6,37
9,2,5,6,211
9,2,5,6,1530
9,2,5,6,2308
9,2,5,6,173
10,2,5,6,1323
10,2,5,6,1327
10,2,5,6,1530
10,2,5,6,900
10,2,5,6,2221
10,2,5,6,1559
10,2,5,6,394
10,2,5,6,866
10,2,5,6,479
10,2,5,6,488
10,2,5,6,1622
10,2,5,6,1910
10,2,5,6,762
10,2,5,6,1273
10,2,5,6,1294
10,2,5,6,2024
10,2,5,6,2314
10,2,5,6,1361
10,2,5,6,551
10,2,5,6,2112
10,2,5,6,1341
10,2,5,6,1187
10,2,5,6,1411
10,2,5,6,1324
10,2,5,6,910
10,2,5,6,1883
10,2,5,6,966
10,2,5,6,2249
10,2,5,6,1895
10,2,5,6,1985
10,2,5,6,533
10,2,5,6,2175
10,2,5,6,1381
10,2,5,6,295
10,2,5,6,1231
10,2,5,6,866
11,0,0,0,1732
11,0,0,0,327
11,0,0,0,802
11,0,0,0,2055
11,0,0,0,1992
11,0,0,0,1585
11,0,0,0,1394
11,0,0,0,1339
