rrf_k,protect_top,city,variant,recall,ndcg,valid_recall,valid_ndcg
25.0,4,Chicago,q30_sum,0.23961177306952008,0.14766580275688984,0.8603856732891179,0.530987891256559
25.0,4,Chicago,q20_sum,0.23961177306952008,0.14772505841311398,0.8603856732891179,0.53100148513936
25.0,4,Chicago,q25_sum,0.23961177306952008,0.14772505841311398,0.8603856732891179,0.5310107925205496
25.0,4,Chicago,q30_50_20_sum,0.23961177306952008,0.14772505841311398,0.8603856732891179,0.53100148513936
25.0,4,Chicago,q25_alpha_transfer_tuned,0.24689332646757833,0.14997635912272594,0.860801586933187,0.5316540588822775
25.0,4,Chicago,q25_valid_r_plus_2n,0.23961177306952008,0.14772505841311398,0.8603856732891179,0.5310107925205496
25.0,5,Chicago,q30_sum,0.23961177306952008,0.1476264815175954,0.8603856732891179,0.5305671941464581
25.0,5,Chicago,q20_sum,0.23961177306952008,0.14765182505322808,0.8603856732891179,0.5305235247816237
25.0,5,Chicago,q25_sum,0.23961177306952008,0.14765182505322808,0.8603856732891179,0.5305420273884498
25.0,5,Chicago,q30_50_20_sum,0.23961177306952008,0.14765182505322808,0.8603856732891179,0.5305235247816237
25.0,5,Chicago,q25_alpha_transfer_tuned,0.24689332646757833,0.14991702014545855,0.860801586933187,0.5311263634549541
25.0,5,Chicago,q25_valid_r_plus_2n,0.23961177306952008,0.14765182505322808,0.8603856732891179,0.5305420273884498
25.0,6,Chicago,q30_sum,0.24527520349023205,0.14906273518549082,0.8603856732891179,0.5303045804162752
25.0,6,Chicago,q20_sum,0.24689332646757833,0.14963527927094186,0.8603856732891179,0.5301483214082714
25.0,6,Chicago,q25_sum,0.24689332646757833,0.1495867017722395,0.8603856732891179,0.5301639748695697
25.0,6,Chicago,q30_50_20_sum,0.24689332646757833,0.14963527927094186,0.8603856732891179,0.5301483214082714
25.0,6,Chicago,q25_alpha_transfer_tuned,0.23718458860350067,0.14765198789944226,0.860801586933187,0.5306168331877296
25.0,6,Chicago,q25_valid_r_plus_2n,0.24689332646757833,0.1495867017722395,0.8603856732891179,0.5301639748695697
25.0,4,NYC,q30_sum,0.17108240164692062,0.08991592254451913,0.9035639308279085,0.5344848664164433
25.0,4,NYC,q20_sum,0.17108240164692062,0.08993686463784181,0.903831557466503,0.5347085427349481
25.0,4,NYC,q25_sum,0.17108240164692062,0.08993610704431092,0.903831557466503,0.5346578972107493
25.0,4,NYC,q30_50_20_sum,0.17108240164692062,0.08993686463784181,0.903831557466503,0.5347085427349481
25.0,4,NYC,q25_alpha_transfer_tuned,0.1675745020520386,0.08899133377630064,0.9096329421321125,0.5368991859217207
25.0,4,NYC,q25_valid_r_plus_2n,0.17108240164692062,0.08993610704431092,0.903831557466503,0.5346578972107493
25.0,5,NYC,q30_sum,0.16860101206875683,0.08925738661332486,0.9037452011704694,0.5335676825135909
25.0,5,NYC,q20_sum,0.16860101206875683,0.08926475295015124,0.903831557466503,0.5339142106972196
