city,component,recall,ndcg
Chicago,local_mf,0.23475740413748125,0.14599391846018475
Chicago,rrf_local,0.23475740413748125,0.14599391846018475
Chicago,semantic_only,0.08896031221321167,0.048706804497306556
Chicago,rrf_semantic_only,0.08896031221321167,0.048706804497306556
Chicago,transfer_only,0.031659085829691014,0.016790555329502885
Chicago,rrf_transfer_only,0.04287500947588927,0.02109296786509486
NYC,local_mf,0.1657556853524624,0.08839976009175324
NYC,rrf_local,0.1657556853524624,0.08839976009175324
NYC,semantic_only,0.03593473477164377,0.017827623742708302
NYC,rrf_semantic_only,0.03593473477164377,0.017827623742708302
NYC,transfer_only,0.02946277444832647,0.013250738686341506
NYC,rrf_transfer_only,0.02946277444832647,0.013250738686341506
Singapore,local_mf,0.4383163762585518,0.23596056421120842
Singapore,rrf_local,0.4383163762585518,0.23596056421120842
Singapore,semantic_only,0.25572962525386883,0.12914996329423686
Singapore,rrf_semantic_only,0.25572962525386883,0.12914996329423686
Singapore,transfer_only,0.23031216397046778,0.10173002522733281
Singapore,rrf_transfer_only,0.23090745026148896,0.10201850197989738
Tokyo,local_mf,0.1323521163510299,0.07591922196389336
Tokyo,rrf_local,0.1323521163510299,0.07591922196389336
Tokyo,semantic_only,0.025577749648452077,0.015077306720854212
Tokyo,rrf_semantic_only,0.025577749648452077,0.015077306720854212
Tokyo,transfer_only,0.01208326198885196,0.006393270673742233
Tokyo,rrf_transfer_only,0.019350362909703323,0.009391188291245637
Average,local_mf,0.24279539552488133,0.13656836618175994
Average,rrf_local,0.24279539552488133,0.13656836618175994
Average,rrf_semantic_only,0.10155060547179408,0.05269042456377648
Average,rrf_transfer_only,0.080648899273852,0.03643834920564484
Average,semantic_only,0.10155060547179408,0.05269042456377648
Average,transfer_only,0.0758793215593343,0.03454114747922986
